FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 13.98
0.00, 0.00, 0.00, 13.99
0.00, 0.00, 0.00, 14.01
0.00, 0.00, 0.00, 14.02
0.00, 0.00, 0.00, 14.03
0.00, 0.00, 0.00, 14.04
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 14.06
0.00, 0.00, 0.00, 14.07
0.00, 0.00, 0.00, 14.07
0.00, 0.00, 0.00, 14.08
0.00, 0.00, 0.00, 14.08
0.00, 0.00, 0.00, 14.09
0.00, 0.00, 0.00, 14.09
0.00, 0.00, 0.00, 14.09
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.10
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.12
0.00, 0.00, 0.00, 14.12
0.00, 0.00, 0.00, 14.12
0.00, 0.00, 0.00, 14.12
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.14
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.15
0.00, 0.00, 0.00, 14.16
0.00, 0.00, 0.00, 14.16
0.00, 0.00, 0.00, 14.16
0.00, 0.00, 0.00, 14.16
0.00, 0.00, 0.00, 14.16
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
0.00, 0.00, 0.00, 14.17
